"Name","Area","Density","Population","Lat","Lng","log","logM","sqrtM","sqrt"
"Carmarthenshire",2370.31,78.66,186452,51.89495087,-4.2111001,4.36513476700366,2.18924732705558,5.90088288352552,8.86904729945669
"Castle Point",45.07,1992.75,89814,51.56159973,0.58808398,7.59727087330803,5.42138343335994,41.6720640781077,44.6402284940389
"Causeway Coast and Glens",1985.53,72.48,143920,55.03961945,-6.59959984,4.28331066173472,2.10742322178664,5.54535424558594,8.51351866151711
"Central Bedfordshire",715.67,391.29,280030,51.99903107,-0.47753999,5.9694489730503,3.79356153310221,16.8128871233576,19.7810515392888
"Ceredigion",1785.6,40.93,73076,52.29795074,-3.94993997,3.71186329050431,1.53597585055622,3.42949140475816,6.39765582068932
"Charnwood",279.04,646.45,180387,52.73989868,-1.13694,6.47149585570056,4.29560841575247,22.4572166038294,25.4253810197606
"Chelmsford",338.78,520.08,176194,51.73503113,0.49116299,6.25398264589621,4.07809520594813,19.8370981346294,22.8052625505606
"Cheltenham",46.6,2513.69,117128,51.89860916,-2.07515001,7.82950707207997,5.65361963213188,47.1685486793646,50.1367130952957
"Cherwell",588.74,250.71,147602,51.8871994,-1.28506005,5.52429689268145,3.34840945273337,12.8656601378524,15.8338245537836
"Cheshire East",1166.36,324.81,378846,53.1679306,-2.29298997,5.78324039599092,3.60735295604283,15.0543215391195,18.0224859550507
"Cheshire West and Chester",916.7,368.7,337986,53.1633606,-2.70298004,5.9099833052401,3.73409586529201,16.2333980204957,19.2015624364269
"Chesterfield",66.04,1583.69,104579,53.25574875,-1.40114999,7.36751284615054,5.19162540620245,36.8274383562345,39.7956027721657
"Chichester",786.22,152.87,120192,50.94176865,-0.71630001,5.02958788701294,2.85370044706485,9.39589640565977,12.3640608215909
"Chiltern",196.35,485.64,95355,51.67890167,-0.62111998,6.18546760867577,4.00958016872769,19.0690767907172,22.0372412066483
"Chorley",202.8,570.88,115772,53.67240143,-2.61921,6.34717902995159,4.1712915900035,20.9249308209778,23.8930952369089
"Christchurch",50.38,984.92,49616,50.76625061,-1.81570005,6.89256041959959,4.71667297965151,28.4152707051642,31.3834351210953
"City of Edinburgh",263.35,1948.76,513210,55.91119003,-3.27825999,7.57494855185337,5.39906111190528,41.1765974477373,44.1447618636685
